Timestamp,X_Coordinate,Y_Coordinate,Slope_Angle_Degrees,Bench_Height_Meters,Joint_Density_per_sqm,Seismic_Vibration_mm_s,Blasting_Proximity_Meters,Displacement_mm_24hrs,Rainfall_mm_past_24hrs,Temperature_C,Risk_Score_0_10,Rock_Type_Category,Alert_Status
2024-01-02 02:00:00,403.51377657457454,833.9886503204572,41.0,11.1,1.79,1.64,97.0,0.27,0.9,35.0,3.27,Granite,0
2024-01-02 03:00:00,506.31270856423396,370.21556019185005,58.3,18.1,6.21,0.91,312.0,2.0,3.28,42.6,6.0,Limestone,0
2024-01-02 04:00:00,125.18781450698589,265.34513179680505,62.6,14.8,2.63,1.78,71.0,0.65,1.28,43.7,4.59,Limestone,0
2024-01-02 05:00:00,167.4640376578129,934.9914896274821,32.6,12.3,1.48,2.62,120.0,2.13,0.57,14.7,5.11,Basalt,0
2024-01-02 06:00:00,164.76563864989618,907.7419091706936,63.4,17.9,5.09,1.22,319.0,0.42,0.62,13.6,3.9,Basalt,0
2024-01-02 07:00:00,215.92495078474718,690.7925089611689,39.4,24.0,0.81,2.06,188.0,0.18,2.86,24.9,3.7,Limestone,0
2024-01-02 08:00:00,488.24436008057967,317.08618381745544,33.6,5.8,7.77,1.65,168.0,0.14,1.55,39.8,5.28,Shale,0
2024-01-02 09:00:00,496.5941404503521,381.9734407394216,82.2,23.4,5.1,0.69,480.0,0.33,0.72,26.1,4.96,Granite,0
2024-01-02 10:00:00,391.46019304974124,746.7352926684721,83.1,17.2,7.89,1.28,215.0,0.78,1.45,36.7,6.6,Sandstone,0
2024-01-02 11:00:00,194.4773191707077,229.30670216897695,74.5,21.1,2.78,1.49,304.0,0.27,0.81,24.0,4.61,Sandstone,0
2024-01-02 12:00:00,874.0363970127995,419.8585410967848,46.8,12.7,7.77,1.55,290.0,0.87,0.47,35.0,4.81,Shale,0
2024-01-02 13:00:00,665.0199628761682,993.6534710732603,35.4,14.4,1.25,1.31,78.0,1.5,1.03,15.6,3.25,Granite,0
2024-01-02 14:00:00,667.8200518459938,686.3819261227974,67.6,22.4,0.42,1.3,353.0,0.16,1.22,38.0,3.82,Shale,0
2024-01-02 15:00:00,380.1729085973935,180.97389268492518,54.2,13.3,0.36,1.22,281.0,0.12,0.56,36.9,2.95,Limestone,0
2024-01-02 16:00:00,903.3560065798445,861.3721549302252,36.7,15.7,3.77,1.29,222.0,0.95,0.65,14.0,3.37,Basalt,0
2024-01-02 17:00:00,374.6017606483416,122.32972893918001,57.2,5.4,0.76,0.75,80.0,0.48,0.74,39.9,3.59,Basalt,0
2024-01-02 18:00:00,685.2253714017703,974.7068829271419,31.9,8.2,4.15,1.11,182.0,0.51,1.1,9.7,3.26,Sandstone,0
2024-01-02 19:00:00,926.4688474854299,975.3245534409518,80.0,17.8,2.69,0.68,448.0,0.74,1.3,35.7,4.79,Granite,0
2024-01-02 20:00:00,994.6677244900867,396.00696809845516,44.2,19.3,2.75,1.0,128.0,0.08,0.59,39.0,2.95,Limestone,0
2024-01-02 21:00:00,284.90372889031573,595.70874725234,66.4,16.7,5.12,0.96,149.0,0.57,0.91,38.2,4.34,Shale,0
2024-01-02 22:00:00,881.4259608952866,181.45300747437386,47.1,7.9,1.39,0.94,142.0,0.44,0.97,14.8,2.84,Granite,0
2024-01-02 23:00:00,741.5011057472263,389.86666042925447,58.6,13.9,6.16,0.8,451.0,0.58,0.51,8.2,4.06,Sandstone,0
2024-01-03 00:00:00,165.3564110306585,681.9502611352518,60.1,12.1,4.7,1.36,365.0,0.14,1.37,6.2,4.65,Shale,0
2024-01-03 01:00:00,257.9759846595149,605.7235846932567,40.2,14.9,7.33,1.08,447.0,0.4,1.65,6.0,4.27,Granite,0
2024-01-03 02:00:00,559.3875010375514,128.03820136753527,83.3,22.4,2.98,1.03,461.0,0.23,1.43,25.4,5.08,Granite,0
2024-01-03 03:00:00,558.4053917776077,302.90963122356817,72.6,20.5,7.86,0.7,468.0,1.04,0.63,13.0,5.14,Granite,0
2024-01-03 04:00:00,806.6754622351256,976.0500992479525,81.7,6.7,4.65,1.08,269.0,0.34,1.65,39.8,4.46,Basalt,0
2024-01-03 05:00:00,489.74225573255694,796.0777064581175,79.2,22.8,7.79,1.93,264.0,0.2,1.16,11.6,6.27,Shale,0
2024-01-03 06:00:00,745.7412028596141,766.4527635319672,62.9,14.4,0.31,1.94,423.0,0.14,2.0,31.8,4.84,Sandstone,0
2024-01-03 07:00:00,995.7781496777494,498.0096355704187,80.7,19.9,5.85,1.42,199.0,0.88,1.55,41.7,5.81,Sandstone,0
2024-01-03 08:00:00,955.7311011448495,236.05253212837528,34.9,7.8,6.55,1.09,60.0,0.98,1.43,43.6,3.77,Shale,0
2024-01-03 09:00:00,588.212442152994,804.151357546077,40.8,18.4,0.52,1.53,199.0,2.52,1.06,39.4,3.75,Granite,0
2024-01-03 10:00:00,791.7634652234791,237.71565844148566,32.5,9.7,4.67,0.94,372.0,0.27,1.97,13.2,3.59,Shale,0
2024-01-03 11:00:00,407.7913298766657,906.3357402215547,47.9,13.8,6.44,1.08,106.0,0.13,0.69,26.2,3.41,Limestone,0
2024-01-03 12:00:00,803.5370297649511,151.07461597086078,51.4,5.3,4.53,0.91,403.0,0.32,0.65,12.4,4.44,Basalt,0
2024-01-03 13:00:00,673.1124455113776,756.556889601676,44.9,8.0,0.6,1.76,417.0,0.18,4.81,28.9,3.65,Limestone,0
2024-01-03 14:00:00,487.56105642844597,418.826007336611,75.6,6.8,5.58,1.67,95.0,0.2,0.46,14.6,3.89,Basalt,0
2024-01-03 15:00:00,534.5637168927567,613.4238852032445,49.6,9.8,0.58,1.2,94.0,0.59,0.67,18.2,4.49,Shale,0
2024-01-03 16:00:00,504.77006044413685,195.78017048744954,45.5,7.0,6.56,2.44,139.0,1.1,1.83,27.1,6.74,Basalt,0
2024-01-03 17:00:00,687.176375909756,151.88809116276212,59.8,18.8,0.44,1.44,210.0,0.56,0.54,9.9,3.23,Basalt,0
2024-01-03 18:00:00,733.1956509584229,892.110823673272,37.8,5.6,1.19,1.41,290.0,0.41,1.77,19.2,2.72,Sandstone,0
2024-01-03 19:00:00,540.40093587993,974.010221077463,74.1,17.4,2.27,1.35,268.0,0.84,2.26,18.6,4.69,Granite,0
2024-01-03 20:00:00,875.7277555465915,822.3756944049816,34.1,7.8,5.1,0.74,434.0,0.29,2.39,28.4,4.29,Basalt,0
2024-01-03 21:00:00,951.6891722458021,592.8201031252195,84.3,23.9,7.81,0.85,114.0,1.57,1.26,27.9,6.36,Limestone,0
2024-01-03 22:00:00,708.9042188566299,562.6882042993391,72.5,23.7,1.03,1.19,364.0,7.38,0.68,20.6,6.42,Sandstone,0
2024-01-03 23:00:00,271.7412248715272,947.8366233930897,40.9,9.5,1.23,1.2,297.0,0.2,0.77,39.6,3.45,Basalt,0
2024-01-04 00:00:00,260.0282732808362,262.1802795861672,30.3,17.3,3.01,1.55,382.0,1.23,2.3,30.7,4.2,Granite,0
2024-01-04 01:00:00,999.4276770123689,862.9608292279045,74.9,5.6,6.71,0.94,204.0,1.23,0.48,37.2,4.77,Limestone,0
2024-01-04 02:00:00,571.9200138063916,961.2572845696747,68.9,23.6,3.79,1.26,262.0,0.62,1.84,27.8,4.38,Limestone,0
2024-01-04 03:00:00,695.4035795495193,590.8467241587114,70.1,15.5,2.64,1.27,63.0,1.33,0.55,20.2,4.68,Basalt,0
2024-01-04 04:00:00,556.462850373975,276.7534319322687,72.4,5.9,4.53,1.29,102.0,0.52,1.16,20.2,4.92,Sandstone,0
2024-01-04 05:00:00,695.6903870444863,497.37708022233096,34.1,11.8,2.16,1.23,219.0,0.7,0.89,13.3,3.68,Granite,0
2024-01-04 06:00:00,512.3138901458842,622.6111656305718,49.7,6.5,3.27,0.7,267.0,0.4,0.98,38.3,3.9,Granite,0
2024-01-04 07:00:00,886.130484997114,332.2867492697428,36.4,12.9,2.73,0.49,89.0,0.42,2.39,38.7,3.35,Basalt,0
2024-01-04 08:00:00,350.1351637112795,922.7740922156622,77.5,18.4,6.45,0.84,421.0,0.69,0.93,9.4,5.55,Limestone,0
2024-01-04 09:00:00,995.4366699264608,601.1334153611965,64.3,14.4,7.4,0.99,476.0,0.56,2.06,38.3,5.33,Basalt,0
2024-01-04 10:00:00,655.9201790058863,315.0600841867109,48.2,12.7,6.1,0.76,318.0,0.13,0.85,37.8,3.35,Sandstone,0
2024-01-04 11:00:00,180.28890726584177,387.6191291650901,33.5,7.4,3.57,1.19,74.0,0.61,1.39,29.1,3.75,Shale,0
2024-01-04 12:00:00,510.763683231714,681.581317218419,47.1,9.9,4.08,1.89,382.0,0.29,1.15,34.9,3.98,Shale,0
2024-01-04 13:00:00,457.469239719304,899.091040587518,47.9,7.0,1.09,1.63,148.0,0.21,0.61,41.8,3.99,Limestone,0
2024-01-04 14:00:00,940.2671099397909,414.97317062397224,70.1,21.1,6.0,1.47,380.0,0.97,0.62,24.4,4.94,Granite,0
2024-01-04 15:00:00,367.52836747375324,141.887734519811,65.1,7.7,4.81,1.81,245.0,0.14,1.07,36.1,5.08,Limestone,0
2024-01-04 16:00:00,519.2261078131442,234.24745386488385,78.8,16.9,7.23,0.84,74.0,0.28,1.0,43.4,5.08,Basalt,0
2024-01-04 17:00:00,750.753937106213,100.32662873772162,56.0,11.9,1.68,1.02,175.0,0.13,1.71,20.3,2.66,Sandstone,0
2024-01-04 18:00:00,180.2725768379544,786.5433866908658,36.6,9.5,6.1,1.56,242.0,0.25,0.48,22.9,4.23,Granite,0
2024-01-04 19:00:00,267.71734235191883,323.2933475717763,69.2,17.8,5.51,1.01,381.0,4.03,0.81,31.2,6.5,Sandstone,0
2024-01-04 20:00:00,690.2980545271885,786.2128906080882,71.8,14.1,2.2,1.03,110.0,0.17,1.51,24.9,4.61,Shale,0
2024-01-04 21:00:00,190.70612963309907,925.5251149686197,60.9,13.0,5.37,2.57,179.0,0.32,1.08,15.4,6.02,Limestone,0
2024-01-04 22:00:00,357.9353582929962,316.0616529359442,72.4,16.9,7.4,1.27,88.0,1.48,0.59,29.4,5.47,Limestone,0
2024-01-04 23:00:00,474.2525247623345,828.7712194929187,57.2,14.8,7.36,2.47,327.0,0.57,1.46,35.4,6.02,Granite,0
2024-01-05 00:00:00,298.3069635087155,451.3011009324149,58.8,11.1,5.79,0.59,263.0,0.32,1.87,5.2,3.76,Limestone,0
2024-01-05 01:00:00,394.8811755423196,675.2194048342768,53.5,16.2,0.48,0.95,468.0,0.18,0.74,13.0,2.18,Shale,0
2024-01-05 02:00:00,315.6487572360188,786.5083191087153,31.4,18.4,6.99,1.44,383.0,0.72,1.98,44.8,4.72,Granite,0
2024-01-05 03:00:00,798.806048368149,515.8738817395498,35.9,5.5,5.3,1.27,400.0,0.27,0.91,39.4,3.94,Sandstone,0
2024-01-05 04:00:00,317.97165281878586,256.9066639176244,31.7,14.3,2.55,0.54,124.0,3.24,1.02,44.8,3.33,Limestone,0
2024-01-05 05:00:00,808.1365641983843,108.15803457987946,65.0,6.2,1.58,1.11,170.0,0.28,0.94,30.6,3.85,Limestone,0
2024-01-05 06:00:00,323.2667527752246,108.20729845510424,47.3,8.7,1.02,3.28,281.0,1.99,2.03,25.2,5.8,Limestone,0
2024-01-05 07:00:00,156.28502056669248,558.535445495423,58.0,16.2,0.5,1.35,56.0,0.88,1.13,6.3,3.29,Limestone,0
2024-01-05 08:00:00,899.9178544514248,871.4872715505235,79.9,22.3,6.06,1.56,442.0,0.88,1.8,18.8,5.69,Shale,0
2024-01-05 09:00:00,751.8366783340741,546.5042638277437,43.7,22.7,1.96,0.94,400.0,0.31,0.96,21.6,2.33,Sandstone,0
2024-01-05 10:00:00,291.8378272517185,334.33504494725014,52.6,6.4,0.29,1.35,76.0,0.23,1.46,10.3,2.46,Sandstone,0
2024-01-05 11:00:00,374.01951575075327,225.40842574905633,71.6,13.4,3.24,1.22,432.0,0.28,0.71,20.8,4.58,Basalt,0
2024-01-05 12:00:00,307.7116057559051,396.3629539788166,42.6,16.7,3.91,1.91,52.0,1.05,2.01,14.0,5.42,Shale,0
2024-01-05 13:00:00,764.0672976033543,904.1910837431695,34.2,7.9,1.44,1.89,101.0,0.62,1.05,22.7,3.56,Granite,0
2024-01-05 14:00:00,111.61664119696879,536.0393015307345,45.9,20.3,0.45,1.44,75.0,0.06,2.28,28.7,3.6,Shale,0
2024-01-05 15:00:00,966.715816572217,211.52143805817633,38.9,19.9,1.59,1.26,266.0,0.1,1.19,31.7,2.38,Shale,0
2024-01-05 16:00:00,436.23242720291864,314.19416917225726,81.1,23.1,5.46,0.62,403.0,0.32,1.28,26.6,5.03,Shale,0
2024-01-05 17:00:00,357.7954837134871,996.4309879303381,74.4,5.2,0.75,0.62,130.0,0.63,3.83,6.4,4.25,Limestone,0
2024-01-05 18:00:00,805.315474943279,582.0565704432704,64.8,9.3,4.48,1.26,397.0,0.29,1.77,41.7,3.85,Shale,0
2024-01-05 19:00:00,389.3707348168802,190.22551565542662,77.9,21.5,1.26,1.73,133.0,0.22,1.35,38.0,4.68,Limestone,0
2024-01-05 20:00:00,612.8270907317524,415.25204797635814,74.2,18.4,1.65,2.08,496.0,0.14,0.66,29.1,4.43,Shale,0
2024-01-05 21:00:00,467.3748091653625,137.20996011283478,40.3,22.9,3.21,0.86,434.0,0.92,0.84,39.2,3.0,Shale,0
2024-01-05 22:00:00,664.518187438319,131.2710384236389,79.1,6.1,0.9,0.67,382.0,0.41,1.81,39.8,2.85,Granite,0
2024-01-05 23:00:00,190.13763579912353,828.3642128649941,59.7,16.9,1.47,1.77,316.0,1.97,1.03,14.1,4.49,Basalt,0
2024-01-06 00:00:00,446.4662531615964,132.69924789548804,74.4,16.4,2.86,0.88,159.0,0.1,1.1,15.7,4.62,Limestone,0
2024-01-06 01:00:00,911.9670918218319,835.3449122956358,79.3,5.7,2.7,0.65,104.0,0.73,0.71,7.8,4.62,Sandstone,0
2024-01-06 02:00:00,978.0507639318877,112.55425805593283,47.5,15.3,6.02,1.0,257.0,0.64,1.5,27.1,4.59,Sandstone,0
2024-01-06 03:00:00,203.16350039754548,700.1081427379709,36.1,17.2,0.69,1.0,231.0,0.86,1.29,33.7,2.53,Shale,0
2024-01-06 04:00:00,692.7422521850418,825.3879260162024,42.5,8.8,6.9,2.07,354.0,0.84,1.74,9.5,5.09,Basalt,0
2024-01-06 05:00:00,470.609326510226,337.8604506740419,53.5,10.5,6.55,1.73,127.0,0.22,2.27,23.8,4.9,Granite,0
2024-01-06 06:00:00,420.5244557460726,371.77625006668904,75.0,17.8,6.15,0.91,303.0,0.31,1.53,37.6,5.04,Shale,0
2024-01-06 07:00:00,117.89738700715466,951.7847789514816,77.3,14.4,2.54,2.14,362.0,0.43,0.68,31.6,4.99,Shale,0
2024-01-06 08:00:00,201.47800964233465,327.52044002586496,30.4,22.2,6.6,1.28,185.0,0.13,0.57,27.5,4.52,Limestone,0
2024-01-06 09:00:00,309.49417657229105,229.30758004219058,58.1,11.8,1.54,1.87,401.0,1.03,1.76,26.1,3.62,Shale,0
2024-01-06 10:00:00,515.6479069000527,278.87167203857405,53.0,10.3,1.08,2.08,244.0,0.03,1.3,19.8,3.72,Granite,0
2024-01-06 11:00:00,701.6282130589119,222.94314347482697,42.2,24.7,0.46,1.1,123.0,0.12,2.93,22.5,2.8,Basalt,0
2024-01-06 12:00:00,598.1142451803206,157.31569785073867,36.6,23.2,7.52,1.53,138.0,0.07,1.24,16.6,4.72,Sandstone,0
2024-01-06 13:00:00,487.00076196878433,804.5127188819989,48.6,5.6,2.53,1.04,176.0,1.1,0.51,32.0,4.07,Shale,0
2024-01-06 14:00:00,661.9966716807544,288.4616760311234,81.9,20.4,7.35,1.77,121.0,0.46,0.65,30.7,5.84,Granite,0
2024-01-06 15:00:00,487.71045055044624,762.0603882260311,47.8,7.2,2.25,1.27,303.0,0.22,0.84,13.1,3.67,Sandstone,0
2024-01-06 16:00:00,426.2632700201705,121.70349259172511,58.5,5.5,7.27,1.79,477.0,0.41,2.92,15.7,5.88,Granite,0
2024-01-06 17:00:00,977.8584541692733,288.8648083914235,68.7,10.5,7.24,2.25,453.0,0.48,2.19,44.5,5.97,Granite,0
2024-01-06 18:00:00,859.7076080978447,268.45041028858327,50.0,10.4,7.4,1.52,196.0,0.11,0.93,9.2,5.39,Basalt,0
2024-01-06 19:00:00,192.07312579847832,203.63433119097783,83.4,21.4,4.02,1.18,439.0,0.43,1.11,32.7,4.94,Basalt,0
2024-01-06 20:00:00,699.6621273966389,773.0756558606139,82.9,19.2,6.94,1.18,479.0,1.48,0.62,25.7,5.47,Sandstone,0
2024-01-06 21:00:00,995.698371869382,738.60307303873,43.8,24.6,7.61,0.37,182.0,1.76,0.61,8.1,4.34,Limestone,0
2024-01-06 22:00:00,656.0792516588679,843.9494169265813,57.3,19.2,2.66,0.92,457.0,0.86,2.14,7.4,4.28,Sandstone,0
2024-01-06 23:00:00,301.96563640727504,680.7017201751064,46.5,13.4,3.41,1.77,499.0,0.48,1.96,37.1,3.83,Shale,0
2024-01-07 00:00:00,703.3570933380308,596.2882066591138,45.7,19.0,5.78,1.8,409.0,0.93,1.06,29.7,5.16,Shale,0
2024-01-07 01:00:00,267.7490512300822,960.2859039882505,32.0,25.0,2.47,0.91,226.0,0.75,3.07,6.8,2.9,Basalt,0
2024-01-07 02:00:00,838.1345692889521,481.51803696190814,63.5,19.2,6.06,1.3,324.0,0.12,1.52,16.5,5.29,Limestone,0
2024-01-07 03:00:00,574.03763351678,758.6684889267274,57.6,20.2,0.68,1.13,214.0,0.15,1.36,15.3,2.46,Limestone,0
2024-01-07 04:00:00,345.0645979356763,276.80815173353915,32.8,23.8,4.24,1.61,498.0,0.69,1.36,27.4,3.0,Basalt,0
2024-01-07 05:00:00,412.07512644788017,816.8130835099417,45.3,7.3,1.07,2.95,81.0,0.19,0.72,14.7,4.16,Basalt,0
2024-01-07 06:00:00,745.1333089610806,745.2680259807153,80.0,19.1,2.42,1.62,452.0,0.13,1.96,36.8,5.18,Limestone,0
2024-01-07 07:00:00,203.9892178348153,386.0083409435373,43.2,22.0,2.14,0.93,84.0,1.34,1.97,14.5,4.44,Granite,0
2024-01-07 08:00:00,915.1149789388282,965.4500815626302,38.0,24.1,6.73,1.18,69.0,0.39,1.38,23.0,4.87,Granite,0
2024-01-07 09:00:00,208.29164647084306,889.7651507017413,56.9,9.2,1.63,2.14,473.0,0.34,0.7,21.9,4.21,Granite,0
2024-01-07 10:00:00,471.78532032569365,803.6146376756026,84.2,15.1,6.49,0.7,440.0,0.11,2.11,7.9,4.66,Sandstone,0
2024-01-07 11:00:00,787.8706093248378,555.1394211478686,43.3,18.6,6.37,0.96,213.0,0.23,0.5,20.6,3.28,Basalt,0
2024-01-07 12:00:00,804.4010221253898,603.5560486234422,67.0,9.9,4.04,1.62,481.0,0.26,0.83,21.3,5.07,Basalt,0
2024-01-07 13:00:00,187.666455801515,859.8908495272176,71.9,17.0,1.95,2.05,438.0,0.15,1.63,10.8,5.06,Sandstone,0
2024-01-07 14:00:00,348.72805333862595,651.8034387473715,43.1,10.2,1.89,1.56,456.0,0.11,1.0,40.4,2.65,Sandstone,0
2024-01-07 15:00:00,415.3489476913038,554.7340312652775,70.1,11.7,3.77,0.96,318.0,2.11,0.74,19.9,5.1,Shale,0
2024-01-07 16:00:00,923.9371625714698,394.79663808916723,50.2,13.8,0.17,1.51,481.0,1.51,2.44,38.9,3.74,Granite,0
2024-01-07 17:00:00,515.4556486979488,554.4233797837519,64.8,15.6,4.3,1.44,414.0,0.33,2.15,28.3,4.12,Basalt,0
2024-01-07 18:00:00,910.0402026265177,109.81008636360599,64.8,14.0,7.63,1.41,473.0,0.1,2.08,5.4,4.55,Basalt,0
2024-01-07 19:00:00,870.7740538871668,886.4786792350058,59.5,14.9,1.32,1.17,177.0,0.07,1.44,32.3,3.65,Limestone,0
2024-01-07 20:00:00,134.66766970973407,690.6582978979095,35.0,11.0,4.63,1.25,289.0,0.23,1.24,21.2,3.56,Limestone,0
2024-01-07 21:00:00,728.6013822701153,749.6193816070607,75.9,8.2,7.7,0.85,440.0,0.04,2.91,34.3,5.11,Shale,0
2024-01-07 22:00:00,892.2180922692477,531.9347203615332,47.6,5.9,6.9,3.29,311.0,0.23,2.5,32.6,6.27,Basalt,0
2024-01-07 23:00:00,429.69792057466447,971.3865502549472,40.3,8.9,6.82,1.3,410.0,0.05,1.17,34.6,4.11,Sandstone,0
2024-01-08 00:00:00,535.9785964892453,739.8611702321563,32.2,16.6,6.59,1.52,488.0,0.33,4.74,32.7,4.97,Granite,0
2024-01-08 01:00:00,311.8862634617022,988.4324056663171,62.5,20.7,2.54,1.12,412.0,0.45,1.15,5.8,4.36,Sandstone,0
2024-01-08 02:00:00,570.2197642487516,991.2565806627293,67.3,8.4,7.14,1.71,192.0,0.31,1.48,43.6,6.16,Limestone,0
2024-01-08 03:00:00,418.0563413488213,551.4588933595421,30.9,7.2,7.54,0.73,103.0,3.23,2.45,23.5,6.18,Sandstone,0
2024-01-08 04:00:00,746.390801673629,886.9044290174569,58.2,20.0,4.02,0.61,173.0,0.3,1.47,40.6,3.61,Shale,0
2024-01-08 05:00:00,313.7409734686395,564.2645951370426,42.5,11.1,2.9,1.21,348.0,2.08,1.07,11.6,3.86,Shale,0
2024-01-08 06:00:00,559.517229643481,291.6407076854446,65.5,24.0,3.37,2.78,55.0,0.49,1.48,19.3,5.39,Granite,0
2024-01-08 07:00:00,521.67910131286,129.19297922983722,39.6,19.3,2.74,1.98,135.0,2.75,1.22,44.0,5.7,Granite,0
2024-01-08 08:00:00,463.0418967061002,421.9232171946181,68.0,11.5,1.78,0.88,197.0,0.06,0.42,40.0,3.8,Limestone,0
2024-01-08 09:00:00,325.45589515184577,739.9385586943872,51.3,10.8,4.99,1.5,444.0,0.12,2.02,36.9,3.46,Granite,0
2024-01-08 10:00:00,741.6211530808328,283.1574799939401,81.5,15.5,4.54,0.95,73.0,0.28,0.89,16.6,5.35,Sandstone,0
2024-01-08 11:00:00,299.3573518058805,630.6942802492764,37.6,6.6,3.75,1.45,72.0,1.83,0.69,33.2,4.68,Granite,0
2024-01-08 12:00:00,911.0966901627759,470.7210976890072,48.8,7.4,0.86,1.49,298.0,0.29,2.23,14.6,3.49,Granite,0
2024-01-08 13:00:00,647.574128726023,801.3476352302653,36.2,8.5,6.4,1.77,130.0,0.19,1.48,31.9,5.24,Granite,0
2024-01-08 14:00:00,983.9874772372387,882.9969366099,80.9,20.5,1.48,0.65,159.0,0.67,1.72,43.7,4.27,Basalt,0
2024-01-08 15:00:00,926.0049881969351,575.1402016500895,78.3,15.3,1.01,0.74,133.0,0.91,1.15,19.0,3.58,Sandstone,0
2024-01-08 16:00:00,230.97563845854467,635.9564669022386,44.2,5.2,5.02,1.19,312.0,0.17,1.37,24.5,3.54,Shale,0
2024-01-08 17:00:00,804.4119941432,176.5647951846671,66.3,18.5,3.25,0.81,75.0,0.18,1.05,21.0,4.1,Shale,0
2024-01-08 18:00:00,258.412919771371,751.8304047871266,74.9,13.5,0.57,0.78,473.0,2.0,0.79,9.0,4.09,Granite,0
2024-01-08 19:00:00,946.2902660684704,146.4538043179849,60.5,15.2,2.91,1.36,105.0,1.28,1.72,43.0,5.12,Granite,0
2024-01-08 20:00:00,714.5491692194558,573.0139477130923,59.1,9.3,6.2,0.85,478.0,1.68,1.38,20.5,6.12,Sandstone,0
2024-01-08 21:00:00,269.00165209633553,229.01605609536375,43.3,16.0,4.96,3.01,400.0,0.94,2.89,43.4,6.48,Shale,0
2024-01-08 22:00:00,252.85218457328892,410.45846363245494,35.1,24.6,2.97,0.99,423.0,0.16,0.4,33.8,2.25,Limestone,0
